Name,StudentID,Age,Nsiblings,Live,Nroommates,ClassStanding,Major,Minor,CreditHours,Working,NHoursWorking,Transfer,APCalculus,APCalExam,APStat,APStatExam,CalCollege,StatCollege,MathStrong,MathAnxiety,StatStrong,StatAnxiety,Ruser,RProficiency,NHoursStudy,NHoursSleep,GradYear,LetterGrade,CLLetterGrade,DayOff,Music,Movie,Travel
,,18,1,On-campus,1,Freshman,Finance,,18,Yes,12,No,Yes,Passed,Yes,Passed,No,No,6,2,5,2,No,,8,8,2029,A,6,Go to the gym,Kings of Leon,The Hunger Games,Ski resort
,,18,2,On-campus,1,Freshman,Economics,,13,Maybe,,No,Yes,Did not take the exam,No,,Yes,No,5,3,4,5,No,,6,6,2029,A-,4,Watch football,Noah Kahan,TopGun,Hawaii
,,19,1,Off-campus,3,Sophomore,Management Information Systems,Management Information Systems,14,Yes,25,Yes,No,,No,,Yes,No,6,2,5,2,No,,10,7,2028,A,6,"relax, maybe go do something exhilerating or outdoors activity ",Jimi Hendrix,The Hangover,anywhere I can ski
,,18,0,On-campus,1,Freshman,Marketing,Environmental Law,15,Yes,16,No,Yes,Did not pass,Yes,Did not take exam,No,No,5,5,4,5,No,,20,7,2029,A,6,Golf,Drake,Stand By Me,Canary Islands
,,19,5,Off-campus,0,Sophomore,Management,None,12,No,,Yes,Yes,Did not pass,No,,Yes,No,2,5,4,4,No,,6,7,2028,A,5,Watch Movies,Bloc Party,Earth to Echo,Panama City
,,19,1,Off-campus,3,Sophomore,Finance,N/a,15,No,,No,Yes,Did not take the exam,No,,No,No,6,2,5,2,No,,20,8,2028,A,6,Watching TV (football/soccer in particular),Kaleo,The Dark Knight,Beach
,,19,1,Off-campus,3,Junior,Risk Management and Insurance,n/a,15,Yes,10,Yes,Yes,Passed,Yes,Passed,Yes,Yes,3,6,4,3,No,,6,5,2027,A,5,go try a new restaurant,,,
,,20,2,Off-campus,3,Sophomore,Marketing,Spanish,15,Yes,6,No,No,,Yes,Did not take exam,Yes,No,2,6,4,4,No,,5,7,2028,B+,5,Rest,Morgan Wallen,Hidden Figures,The beach
,,19,2,Off-campus,1,Sophomore,Accounting,AI Learning,15,No,,Yes,Yes,Did not pass,Yes,Did not take exam,No,Yes,5,5,2,6,No,,5,8,2028,A,6,Play games and workout,Childish Gambino,Nightcrawler,Iceland
,,18,2,On-campus,1,Freshman,Economics,"Philosophy, Ethics, and Law",16,Maybe,,No,No,,Yes,Passed,No,No,5,4,6,5,No,,20,7,2029,A,7,Watch TV,Morgan Wallen,The Wolf of Wall Street,Anywhere in Europe
